Country Name,Country Code,"Population2023","GrowthRate2023","FertilityRate2022","LifeExpectancy2022","DeathRate2022","MortalityRate2022","NetMigration2022"
Latin America & Caribbean (excluding high income),LAC,600825676,0.007088070035489835,1.8335029490044503,73.61244587983357,7.546390434364518,13.349138867707753,-430540.5
Lao PDR,LAO,7633779,0.013852758658472242,2.448,68.999,6.195,32.7,-9999.0
Lebanon,LBN,5353930,-0.024738698870747755,2.08,74.41599999999998,8.856999999999998,14.9,-168784.0
Liberia,LBR,5418377,0.02181839714665101,4.016,61.1,8.631999999999998,54.9,-5000.0
Libya,LBY,6888388,0.011163122926465263,2.402,72.15099999999998,5.954,8.9,-2000.0
St. Lucia,LCA,180251,0.0021906292221043344,1.387,71.294,10.151,16.0,0.0
Latin America & Caribbean,LCN,664155299,0.0073537388947322304,1.836091365004509,73.75256852760107,7.583002790372621,13.5,-168510.0
Least developed countries: UN classification,LDC,1150346774,0.023078836943783095,3.932190826127604,64.9225785824994,7.26739920088225,42.261043447607285,-1004483.5
Low income,LIC,722984063,0.027363008712902422,4.54881181608572,63.01131039192392,7.707903320255936,45.7,298189.5
Liechtenstein,LIE,39584,0.006534950542883999,1.47,84.31951219512197,7.1,,150.0
Sri Lanka,LKA,22037000,-0.0064920427392813895,1.974,76.61,7.287,5.6,-77495.0
Lower middle income,LMC,3059564861,0.012974946013751598,2.65360200373368,67.1969794891736,8.220001379561182,33.7,-2004217.0
Low & middle income,LMY,6593137026,0.010078154416126583,2.4050458023896923,70.39558704146918,7.971762231551668,30.593859238471445,-5006481.0
Lesotho,LSO,2330318,0.010622228486550478,2.98,53.036,14.069,56.4,-4000.0
Late-demographic dividend,LTE,2326833223,0.000647207118999793,1.3938864528607695,77.09815467637651,7.894673879980729,7.576774600252474,1409944.5
Lithuania,LTU,2871897,0.014217207772601048,1.27,75.79268292682926,15.1,2.9,-14160.0
Luxembourg,LUX,668606,0.023737450294976536,1.31,83.04634146341466,6.8,2.2,5052.5
