href,Occupation,type,grp,group
/ooh/protective-service/home.htm,Protective Service,group,protective-service,Protective Service
/ooh/sales/home.htm,Sales,group,sales,Sales
/ooh/transportation-and-material-moving/home.htm,Transportation and Material Moving,group,transportation-and-material-moving,Transportation and Material Moving
/ooh/personal-care-and-service/funeral-service-occupations.htm,Funeral Service Workers,occupation,personal-care-and-service,Personal Care and Service
/ooh/business-and-financial/insurance-underwriters.htm,Insurance Underwriters,occupation,business-and-financial,Business and Financial
/ooh/computer-and-information-technology/computer-and-information-research-scientists.htm,Computer and Information Research Scientists,occupation,computer-and-information-technology,Computer and Information Technology
/ooh/math/mathematicians-and-statisticians.htm,Mathematicians and Statisticians,occupation,math,Math
/ooh/life-physical-and-social-science/atmospheric-scientists-including-meteorologists.htm,"Atmospheric Scientists, Including Meteorologists",occupation,life-physical-and-social-science,"Life, Physical, and Social Science"
/ooh/life-physical-and-social-science/economists.htm,Economists,occupation,life-physical-and-social-science,"Life, Physical, and Social Science"
/ooh/community-and-social-service/health-educators.htm,Health Education Specialists,occupation,community-and-social-service,Community and Social Service
/ooh/legal/court-reporters.htm,Court Reporters and Simultaneous Captioners,occupation,legal,Legal
/ooh/healthcare/dietitians-and-nutritionists.htm,Dietitians and Nutritionists,occupation,healthcare,Healthcare
/ooh/healthcare/audiologists.htm,Audiologists,occupation,healthcare,Healthcare
/ooh/sales/travel-agents.htm,Travel Agents,occupation,sales,Sales
/ooh/construction-and-extraction/electricians.htm,Electricians,occupation,construction-and-extraction,Construction and Extraction
/ooh/management/advertising-promotions-and-marketing-managers.htm,"Advertising, Promotions, and Marketing Managers",occupation,management,Management
/ooh/management/sales-managers.htm,Sales Managers,occupation,management,Management
/ooh/management/administrative-services-managers.htm,Administrative Services and Facilities Managers,occupation,management,Management
/ooh/management/computer-and-information-systems-managers.htm,Computer and Information Systems Managers,occupation,management,Management
/ooh/management/financial-managers.htm,Financial Managers,occupation,management,Management
/ooh/management/compensation-and-benefits-managers.htm,Compensation and Benefits Managers,occupation,management,Management
/ooh/management/training-and-development-managers.htm,Training and Development Managers,occupation,management,Management
/ooh/management/human-resources-managers.htm,Human Resources Managers,occupation,management,Management
/ooh/management/industrial-production-managers.htm,Industrial Production Managers,occupation,management,Management
/ooh/management/farmers-ranchers-and-other-agricultural-managers.htm,"Farmers, Ranchers, and Other Agricultural Managers",occupation,management,Management
/ooh/management/construction-managers.htm,Construction Managers,occupation,management,Management
/ooh/management/preschool-and-childcare-center-directors.htm,Preschool and Childcare Center Directors,occupation,management,Management
/ooh/management/elementary-middle-and-high-school-principals.htm,"Elementary, Middle, and High School Principals",occupation,management,Management
/ooh/management/postsecondary-education-administrators.htm,Postsecondary Education Administrators,occupation,management,Management
/ooh/management/architectural-and-engineering-managers.htm,Architectural and Engineering Managers,occupation,management,Management
/ooh/management/food-service-managers.htm,Food Service Managers,occupation,management,Management
/ooh/management/lodging-managers.htm,Lodging Managers,occupation,management,Management
/ooh/management/medical-and-health-services-managers.htm,Medical and Health Services Managers,occupation,management,Management
/ooh/management/natural-sciences-managers.htm,Natural Sciences Managers,occupation,management,Management
/ooh/management/property-real-estate-and-community-association-managers.htm,"Property, Real Estate, and Community Association Managers",occupation,management,Management
/ooh/management/social-and-community-service-managers.htm,Social and Community Service Managers,occupation,management,Management
/ooh/management/top-executives.htm,Top Executives,occupation,management,Management
/ooh/business-and-financial/claims-adjusters-appraisers-examiners-and-investigators.htm,"Claims Adjusters, Appraisers, Examiners, and Investigators",occupation,business-and-financial,Business and Financial
/ooh/business-and-financial/cost-estimators.htm,Cost Estimators,occupation,business-and-financial,Business and Financial
/ooh/business-and-financial/human-resources-specialists.htm,Human Resources Specialists,occupation,business-and-financial,Business and Financial
/ooh/business-and-financial/management-analysts.htm,Management Analysts,occupation,business-and-financial,Business and Financial
/ooh/business-and-financial/meeting-convention-and-event-planners.htm,"Meeting, Convention, and Event Planners",occupation,business-and-financial,Business and Financial
/ooh/business-and-financial/accountants-and-auditors.htm,Accountants and Auditors,occupation,business-and-financial,Business and Financial
/ooh/business-and-financial/appraisers-and-assessors-of-real-estate.htm,Property Appraisers and Assessors,occupation,business-and-financial,Business and Financial
/ooh/business-and-financial/budget-analysts.htm,Budget Analysts,occupation,business-and-financial,Business and Financial
/ooh/business-and-financial/financial-analysts.htm,Financial Analysts,occupation,business-and-financial,Business and Financial
/ooh/business-and-financial/personal-financial-advisors.htm,Personal Financial Advisors,occupation,business-and-financial,Business and Financial
/ooh/business-and-financial/financial-examiners.htm,Financial Examiners,occupation,business-and-financial,Business and Financial
/ooh/business-and-financial/loan-officers.htm,Loan Officers,occupation,business-and-financial,Business and Financial
/ooh/business-and-financial/tax-examiners-and-collectors-and-revenue-agents.htm,"Tax Examiners and Collectors, and Revenue Agents",occupation,business-and-financial,Business and Financial
/ooh/computer-and-information-technology/computer-programmers.htm,Computer Programmers,occupation,computer-and-information-technology,Computer and Information Technology
/ooh/computer-and-information-technology/software-developers.htm,"Software Developers, Quality Assurance Analysts, and Testers",occupation,computer-and-information-technology,Computer and Information Technology
/ooh/computer-and-information-technology/computer-support-specialists.htm,Computer Support Specialists,occupation,computer-and-information-technology,Computer and Information Technology
/ooh/computer-and-information-technology/computer-systems-analysts.htm,Computer Systems Analysts,occupation,computer-and-information-technology,Computer and Information Technology
/ooh/computer-and-information-technology/database-administrators.htm,Database Administrators and Architects,occupation,computer-and-information-technology,Computer and Information Technology
/ooh/computer-and-information-technology/network-and-computer-systems-administrators.htm,Network and Computer Systems Administrators,occupation,computer-and-information-technology,Computer and Information Technology
/ooh/math/actuaries.htm,Actuaries,occupation,math,Math
/ooh/math/operations-research-analysts.htm,Operations Research Analysts,occupation,math,Math
/ooh/architecture-and-engineering/architects.htm,Architects,occupation,architecture-and-engineering,Architecture and Engineering
/ooh/architecture-and-engineering/landscape-architects.htm,Landscape Architects,occupation,architecture-and-engineering,Architecture and Engineering
/ooh/architecture-and-engineering/cartographers-and-photogrammetrists.htm,Cartographers and Photogrammetrists,occupation,architecture-and-engineering,Architecture and Engineering
/ooh/architecture-and-engineering/surveyors.htm,Surveyors,occupation,architecture-and-engineering,Architecture and Engineering
/ooh/architecture-and-engineering/aerospace-engineers.htm,Aerospace Engineers,occupation,architecture-and-engineering,Architecture and Engineering
/ooh/architecture-and-engineering/biomedical-engineers.htm,Bioengineers and Biomedical Engineers,occupation,architecture-and-engineering,Architecture and Engineering
/ooh/architecture-and-engineering/chemical-engineers.htm,Chemical Engineers,occupation,architecture-and-engineering,Architecture and Engineering
/ooh/architecture-and-engineering/civil-engineers.htm,Civil Engineers,occupation,architecture-and-engineering,Architecture and Engineering
/ooh/architecture-and-engineering/computer-hardware-engineers.htm,Computer Hardware Engineers,occupation,architecture-and-engineering,Architecture and Engineering
/ooh/architecture-and-engineering/electrical-and-electronics-engineers.htm,Electrical and Electronics Engineers,occupation,architecture-and-engineering,Architecture and Engineering
